[2026-04-30 10:31:07] [File: test.php] [Line: 1] Test log entry from fix verification
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-23
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 441] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 441] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 441] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 441] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 441] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 441] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 441] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 441] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 441] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 441] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
[2026-04-30 10:52:09] [File: C:\xampp\htdocs\GCA-Production\portal\modules\reports\financial\day-book.php] [Line: 491] PHP DEPRECATED: htmlspecialchars(): Passing null to parameter #1 ($string) of type string is deprecated | User ID: 1 | URI: /portal/modules/reports/financial/day-book?date=2025-12-21
